14041 / 3250 / 3453 sentences in train / dev / test.
Loaded 400000 pretrained embeddings.
word_to_id: 17493
Training Start at 2020/03/19 19:19:55
# Model Parameters: 1949955
Train: new_F: 0.9095313638897227 best_F: 0.9095313638897227 
Dev: new_F: 0.8445772843723315 best_F: 0.8445772843723315 
Test: new_F: 0.7851291745431633 best_F: 0.7851291745431633 
Saving Model to ./models/_20200319_191939_LSTM_1_0_1 at 2020/03/19 19:34:15
Train: new_F: 0.9478101567825495 best_F: 0.9478101567825495 
Dev: new_F: 0.8555461473327688 best_F: 0.8555461473327688 
Test: new_F: 0.7939420935412026 best_F: 0.7939420935412026 
Saving Model to ./models/_20200319_191939_LSTM_1_0_1 at 2020/03/19 19:48:38
Train: new_F: 0.9584834850843338 best_F: 0.9584834850843338 
Dev: new_F: 0.8620953352026511 best_F: 0.8620953352026511 
Test: new_F: 0.7830517565030839 best_F: 0.7939420935412026 
Saving Model to ./models/_20200319_191939_LSTM_1_0_1 at 2020/03/19 20:03:51
Train: new_F: 0.9709433801254427 best_F: 0.9709433801254427 
Dev: new_F: 0.8684770579722483 best_F: 0.8684770579722483 
Test: new_F: 0.7971651565443617 best_F: 0.7971651565443617 
Saving Model to ./models/_20200319_191939_LSTM_1_0_1 at 2020/03/19 20:23:37
Train: new_F: 0.9798666297377336 best_F: 0.9798666297377336 
Dev: new_F: 0.8776185226019846 best_F: 0.8776185226019846 
Test: new_F: 0.8032889444990615 best_F: 0.8032889444990615 
Saving Model to ./models/_20200319_191939_LSTM_1_0_1 at 2020/03/19 20:47:24
Train: new_F: 0.9799769948451412 best_F: 0.9799769948451412 
Dev: new_F: 0.8774957698815566 best_F: 0.8776185226019846 
Test: new_F: 0.8111813406926022 best_F: 0.8111813406926022 
Train: new_F: 0.981738370730252 best_F: 0.981738370730252 
Dev: new_F: 0.8838234047962036 best_F: 0.8838234047962036 
Test: new_F: 0.8137709596860507 best_F: 0.8137709596860507 
Saving Model to ./models/_20200319_191939_LSTM_1_0_1 at 2020/03/19 20:56:57
Train: new_F: 0.9823948164883415 best_F: 0.9823948164883415 
Dev: new_F: 0.8813991000933866 best_F: 0.8838234047962036 
Test: new_F: 0.8190016965800517 best_F: 0.8190016965800517 
Train: new_F: 0.9822659467764997 best_F: 0.9823948164883415 
Dev: new_F: 0.8818507768482159 best_F: 0.8838234047962036 
Test: new_F: 0.8031340057636888 best_F: 0.8190016965800517 
Train: new_F: 0.9847308709374734 best_F: 0.9847308709374734 
Dev: new_F: 0.8818790808106505 best_F: 0.8838234047962036 
Test: new_F: 0.8086777966253015 best_F: 0.8190016965800517 
Train: new_F: 0.9844559585492227 best_F: 0.9847308709374734 
Dev: new_F: 0.8927634363097757 best_F: 0.8927634363097757 
Test: new_F: 0.8251096982179636 best_F: 0.8251096982179636 
Saving Model to ./models/_20200319_191939_LSTM_1_0_1 at 2020/03/19 21:15:23
Train: new_F: 0.984988698878417 best_F: 0.984988698878417 
Dev: new_F: 0.8821634452356731 best_F: 0.8927634363097757 
Test: new_F: 0.8157683024939661 best_F: 0.8251096982179636 
Train: new_F: 0.9840254228250902 best_F: 0.984988698878417 
Dev: new_F: 0.8885312552939183 best_F: 0.8927634363097757 
Test: new_F: 0.8189046725632092 best_F: 0.8251096982179636 
Train: new_F: 0.9872100954979537 best_F: 0.9872100954979537 
Dev: new_F: 0.8849978750531238 best_F: 0.8927634363097757 
Test: new_F: 0.8213452914798206 best_F: 0.8251096982179636 
Train: new_F: 0.9866956632979403 best_F: 0.9872100954979537 
Dev: new_F: 0.8807666214382632 best_F: 0.8927634363097757 
Test: new_F: 0.8186946011281225 best_F: 0.8251096982179636 
Train: new_F: 0.9877791285430929 best_F: 0.9877791285430929 
Dev: new_F: 0.8878115165433359 best_F: 0.8927634363097757 
Test: new_F: 0.8219669777458721 best_F: 0.8251096982179636 
Train: new_F: 0.9881926683716965 best_F: 0.9881926683716965 
Dev: new_F: 0.8872714962762356 best_F: 0.8927634363097757 
Test: new_F: 0.8211316706891928 best_F: 0.8251096982179636 
Train: new_F: 0.9886273924083044 best_F: 0.9886273924083044 
Dev: new_F: 0.8901183079411014 best_F: 0.8927634363097757 
Test: new_F: 0.8290351668169522 best_F: 0.8290351668169522 
Train: new_F: 0.9882538532051418 best_F: 0.9886273924083044 
Dev: new_F: 0.8901518364577149 best_F: 0.8927634363097757 
Test: new_F: 0.822528653295129 best_F: 0.8290351668169522 
Train: new_F: 0.9877538829151732 best_F: 0.9886273924083044 
Dev: new_F: 0.8851512062521237 best_F: 0.8927634363097757 
Test: new_F: 0.8110095033171957 best_F: 0.8290351668169522 
Train: new_F: 0.9895899995733606 best_F: 0.9895899995733606 
Dev: new_F: 0.8880177262655531 best_F: 0.8927634363097757 
Test: new_F: 0.8133153396311291 best_F: 0.8290351668169522 
Train: new_F: 0.9908542435031019 best_F: 0.9908542435031019 
Dev: new_F: 0.8875307698837112 best_F: 0.8927634363097757 
Test: new_F: 0.8182062539198997 best_F: 0.8290351668169522 
Train: new_F: 0.9893605680049465 best_F: 0.9908542435031019 
Dev: new_F: 0.8898139495369977 best_F: 0.8927634363097757 
Test: new_F: 0.8212395730558794 best_F: 0.8290351668169522 
Train: new_F: 0.9909556313993174 best_F: 0.9909556313993174 
Dev: new_F: 0.8902917590854803 best_F: 0.8927634363097757 
Test: new_F: 0.8262478563047208 best_F: 0.8290351668169522 
Train: new_F: 0.9909379730911106 best_F: 0.9909556313993174 
Dev: new_F: 0.8827773533655886 best_F: 0.8927634363097757 
Test: new_F: 0.8168761220825852 best_F: 0.8290351668169522 
Train: new_F: 0.9911753421153602 best_F: 0.9911753421153602 
Dev: new_F: 0.8864580683456288 best_F: 0.8927634363097757 
Test: new_F: 0.8174738161310537 best_F: 0.8290351668169522 
Train: new_F: 0.9919215602685708 best_F: 0.9919215602685708 
Dev: new_F: 0.8915805522615619 best_F: 0.8927634363097757 
Test: new_F: 0.8287223565225176 best_F: 0.8290351668169522 
Train: new_F: 0.9922798037961185 best_F: 0.9922798037961185 
Dev: new_F: 0.892459406613959 best_F: 0.8927634363097757 
Test: new_F: 0.8274252894193664 best_F: 0.8290351668169522 
Train: new_F: 0.9925559371200647 best_F: 0.9925559371200647 
Dev: new_F: 0.895930677087758 best_F: 0.895930677087758 
Test: new_F: 0.829517910045785 best_F: 0.829517910045785 
Saving Model to ./models/_20200319_191939_LSTM_1_0_1 at 2020/03/19 22:39:37
Train: new_F: 0.9925366769020812 best_F: 0.9925559371200647 
Dev: new_F: 0.8881919131982707 best_F: 0.895930677087758 
Test: new_F: 0.8217484772482981 best_F: 0.829517910045785 
Train: new_F: 0.9915762086541127 best_F: 0.9925559371200647 
Dev: new_F: 0.8884553397234711 best_F: 0.895930677087758 
Test: new_F: 0.8251923421005548 best_F: 0.829517910045785 
Train: new_F: 0.9924087342204025 best_F: 0.9925559371200647 
Dev: new_F: 0.8909260673966557 best_F: 0.895930677087758 
Test: new_F: 0.8270488132557099 best_F: 0.829517910045785 
Train: new_F: 0.9924949895526843 best_F: 0.9925559371200647 
Dev: new_F: 0.8866644044791313 best_F: 0.895930677087758 
Test: new_F: 0.8262036871308394 best_F: 0.829517910045785 
Training End at 2020/03/19 22:58:37
Training Time 13121s 
