14041 / 3250 / 3453 sentences in train / dev / test.
Loaded 400000 pretrained embeddings.
word_to_id: 17493
Training Start at 2020/03/19 20:01:59
# Model Parameters: 1911094
Train: new_F: 0.8400364440973578 best_F: 0.8400364440973578 
Dev: new_F: 0.7709437011762593 best_F: 0.7709437011762593 
Test: new_F: 0.7139846743295019 best_F: 0.7139846743295019 
Saving Model to ./models/_20200319_200142_CNN_1_0_0 at 2020/03/19 20:05:08
Train: new_F: 0.8829932832206853 best_F: 0.8829932832206853 
Dev: new_F: 0.800804828973843 best_F: 0.800804828973843 
Test: new_F: 0.7263194687172317 best_F: 0.7263194687172317 
Saving Model to ./models/_20200319_200142_CNN_1_0_0 at 2020/03/19 20:08:38
Train: new_F: 0.9001240303559042 best_F: 0.9001240303559042 
Dev: new_F: 0.8003333333333333 best_F: 0.800804828973843 
Test: new_F: 0.7344830604919899 best_F: 0.7344830604919899 
Train: new_F: 0.9160639192598823 best_F: 0.9160639192598823 
Dev: new_F: 0.8114352198121833 best_F: 0.8114352198121833 
Test: new_F: 0.7388247547955906 best_F: 0.7388247547955906 
Saving Model to ./models/_20200319_200142_CNN_1_0_0 at 2020/03/19 20:15:38
Train: new_F: 0.9246624321709502 best_F: 0.9246624321709502 
Dev: new_F: 0.8191771731917716 best_F: 0.8191771731917716 
Test: new_F: 0.748961218836565 best_F: 0.748961218836565 
Saving Model to ./models/_20200319_200142_CNN_1_0_0 at 2020/03/19 20:19:57
Train: new_F: 0.9262994243455607 best_F: 0.9262994243455607 
Dev: new_F: 0.8118142067486182 best_F: 0.8191771731917716 
Test: new_F: 0.7467057101024891 best_F: 0.748961218836565 
Train: new_F: 0.9262614823203724 best_F: 0.9262994243455607 
Dev: new_F: 0.8252451182335009 best_F: 0.8252451182335009 
Test: new_F: 0.7604184530955238 best_F: 0.7604184530955238 
Saving Model to ./models/_20200319_200142_CNN_1_0_0 at 2020/03/19 20:21:58
Train: new_F: 0.9340086587364971 best_F: 0.9340086587364971 
